"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.552666654E-3,-1.006506958E0,6.150410156E0,7.864944763E0,1.003483719E1
1.148866664E-2,-1.006806335E0,6.192772064E0,7.521858215E0,9.795020972E0
2.142466663E-2,-1.011746063E0,6.258635101E0,7.381300507E0,9.730248743E0
3.135966667E-2,-1.053209839E0,6.312972107E0,7.346872101E0,9.743685004E0
4.129566666E-2,-1.069076843E0,6.299500122E0,7.378755798E0,9.760771702E0
5.123166664E-2,-1.060544586E0,6.268664246E0,7.443271637E0,9.788932470E0
6.116666662E-2,-1.068328400E0,6.268963623E0,7.452552338E0,9.797028469E0
7.110266667E-2,-1.062041473E0,6.273903351E0,7.439379730E0,9.789492638E0
8.103866666E-2,-1.069525909E0,6.277645569E0,7.418423309E0,9.776795178E0
9.097366664E-2,-1.029858398E0,6.271059265E0,7.426506500E0,9.774445837E0
1.009096666E-1,-9.602531433E-1,6.275699615E0,7.433242493E0,9.775458338E0
1.108456667E-1,-8.625064087E-1,6.262826385E0,7.426805878E0,9.753171647E0
1.207806666E-1,-7.969427490E-1,6.238127747E0,7.412286072E0,9.720665632E0
1.307166666E-1,-8.033793640E-1,6.224356384E0,7.468868408E0,9.755615106E0
1.406526666E-1,-8.195457458E-1,6.215225372E0,7.554340668E0,9.816758354E0
1.505876667E-1,-8.304730225E-1,6.191724243E0,7.603438568E0,9.840701835E0
1.605236667E-1,-7.957452393E-1,6.185736694E0,7.594457245E0,9.827122152E0
1.704596666E-1,-7.366181946E-1,6.206393738E0,7.549101563E0,9.800554270E0
1.803946666E-1,-6.783892822E-1,6.207291870E0,7.497009888E0,9.756835636E0
1.903306667E-1,-6.680607605E-1,6.212980042E0,7.504045258E0,9.765148304E0
2.002666667E-1,-7.318281555E-1,6.213279419E0,7.571554871E0,9.821856074E0
2.102016666E-1,-7.824229431E-1,6.213728485E0,7.604486389E0,9.851437489E0
2.201376666E-1,-8.506809998E-1,6.234385529E0,7.595056000E0,9.862864529E0
2.300736667E-1,-8.625064087E-1,6.249803467E0,7.542365570E0,9.833170347E0
2.400086666E-1,-8.244854736E-1,6.258186035E0,7.481591949E0,9.788712216E0
2.499446666E-1,-8.006849670E-1,6.278394012E0,7.374714203E0,9.718319678E0
2.598806666E-1,-8.125103760E-1,6.273603973E0,7.307354279E0,9.665180106E0
2.698156667E-1,-8.566685486E-1,6.263125763E0,7.323370972E0,9.674315878E0
2.797516666E-1,-9.328601074E-1,6.231541443E0,7.413932648E0,9.729785919E0
2.896876666E-1,-9.422904968E-1,6.176605682E0,7.451055450E0,9.724021620E0
2.996226667E-1,-9.159452820E-1,6.112987976E0,7.409292297E0,9.649103072E0
3.095586667E-1,-8.649014282E-1,6.111042023E0,7.227270813E0,9.504016650E0
3.194946666E-1,-8.890013123E-1,6.118825836E0,6.994953918E0,9.335937728E0
3.294296666E-1,-9.199868774E-1,6.152505798E0,6.710245972E0,9.150251606E0
3.393656667E-1,-9.732760620E-1,6.148015137E0,6.570885773E0,9.051071553E0
3.493016667E-1,-1.154698792E0,6.067781982E0,6.610852661E0,9.047357647E0
3.592366666E-1,-1.355581055E0,5.760321350E0,6.628815308E0,8.885949270E0
3.691726666E-1,-1.475631409E0,5.458249512E0,6.556665344E0,8.657934871E0
3.791086667E-1,-1.256936188E0,5.697302399E0,6.503974915E0,8.737324126E0
3.890436667E-1,-1.346599731E0,5.449118500E0,6.553372192E0,8.628609990E0
3.989796666E-1,-1.431622925E0,4.589905243E0,6.413562927E0,8.015644937E0
4.089156666E-1,-1.556313629E0,3.645519104E0,4.641847229E0,6.103987823E0
4.188506667E-1,-1.737287292E0,4.476890259E0,5.241051178E0,7.108398622E0
4.287866667E-1,-2.103425903E0,4.536616058E0,6.319259033E0,8.058431641E0
4.387226666E-1,-1.701661377E0,3.492686920E0,4.532275085E0,5.969592182E0
4.486576666E-1,-8.547225952E-1,3.513643341E0,4.687502289E0,5.920212661E0
4.585936667E-1,-1.258133698E0,4.175716553E0,5.925428009E0,7.357323305E0
4.685296667E-1,-1.102008362E0,4.791535950E0,5.975723419E0,7.738379001E0
4.784646666E-1,-7.607180786E-1,5.063520355E0,5.716312866E0,7.674253264E0
4.884006666E-1,-1.187480621E0,5.101241913E0,5.650898895E0,7.704896989E0
4.983356667E-1,-1.772464142E0,5.047353973E0,5.836063843E0,7.916884011E0
5.082716667E-1,-1.958527222E0,5.062622223E0,6.068231049E0,8.141830305E0
5.182076666E-1,-1.899849243E0,5.182522888E0,6.295009460E0,8.372282529E0
5.281436666E-1,-1.815125427E0,5.297633514E0,6.567442932E0,8.630811540E0
5.380786667E-1,-1.401086426E0,5.377866669E0,6.854845276E0,8.824590463E0
5.480146667E-1,-6.789880371E-1,5.109624481E0,6.917564850E0,8.626818101E0
5.579496666E-1,-4.095483398E-1,4.681814117E0,6.775210876E0,8.245641012E0
5.678856666E-1,-5.297483826E-1,4.519551544E0,6.648125153E0,8.056335864E0
5.778216667E-1,-1.011895752E0,4.338278503E0,6.642137604E0,7.997661241E0
5.877570000E-1,-1.478924561E0,4.221072235E0,6.706803131E0,8.061381824E0
5.976930000E-1,-1.986369324E0,4.152215424E0,6.912625122E0,8.304874598E0
6.076290000E-1,-2.667003937E0,3.794459381E0,7.504194946E0,8.821778380E0
6.175640000E-1,-2.523153076E0,2.991379395E0,7.846982117E0,8.768681798E0
6.275000000E-1,-2.183808746E0,2.510279846E0,7.512876892E0,8.216680884E0
6.374360000E-1,-2.253414001E0,2.267185364E0,7.395670624E0,8.056919269E0
6.473710000E-1,-2.674488373E0,2.199226685E0,7.364086304E0,8.137521315E0
6.573070000E-1,-3.254532166E0,2.206561432E0,6.503525848E0,7.599785617E0
6.672430000E-1,-3.885470123E0,2.003733215E0,5.913602600E0,7.354081900E0
6.771780000E-1,-3.965403900E0,1.690734100E0,6.207142181E0,7.557223296E0
6.871140000E-1,-3.469485168E0,1.322499847E0,7.045848083E0,7.964314685E0
6.970500000E-1,-3.546574860E0,1.263522491E0,8.056546326E0,8.892840998E0
7.069850000E-1,-3.955823822E0,1.636696472E0,7.575446777E0,8.701420075E0
7.169210000E-1,-4.628674622E0,1.586251373E0,6.704857178E0,8.300357338E0
7.268570000E-1,-5.164410553E0,1.881886597E0,6.319109344E0,8.375188143E0
7.367920000E-1,-4.819228363E0,1.761387177E0,5.912105713E0,7.828182469E0
7.467280000E-1,-4.588857422E0,1.138382721E0,5.654790802E0,7.370901347E0
7.566640000E-1,-4.550387421E0,-5.224136353E-2,5.321733398E0,7.002114052E0
7.665990000E-1,-4.406686249E0,-1.094074860E0,5.242548065E0,6.935430319E0
7.765350000E-1,-4.921914825E0,-2.049388275E0,5.350623322E0,7.553436819E0
7.864710000E-1,-5.253924408E0,-1.626517639E0,5.212161255E0,7.577328438E0
7.964060000E-1,-5.938301239E0,-1.203497314E-1,4.876559143E0,7.684968103E0
8.063420000E-1,-5.560935974E0,7.364685059E-1,5.038222961E0,7.539899560E0
8.162780000E-1,-4.908592529E0,-2.975811768E-1,5.272336121E0,7.209740865E0
8.262130000E-1,-6.055657196E0,-6.572831726E-1,5.035977631E0,7.903421787E0
8.361490000E-1,-5.857319641E0,-1.412911835E0,4.978646851E0,7.816101182E0
