"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.457757500E-1,-2.171833649E0,2.098037109E0,6.959477692E0,7.586366116E0
6.557127500E-1,-2.623743896E0,1.738185425E0,7.519762573E0,8.151818801E0
6.656507500E-1,-2.903961182E0,1.825154572E0,8.014633484E0,8.717713555E0
6.755877500E-1,-2.943179626E0,1.988764343E0,7.992180176E0,8.745995306E0
6.855247500E-1,-2.921325073E0,1.971400452E0,7.462581482E0,8.252919623E0
6.954627500E-1,-2.852917328E0,1.660796356E0,7.174131317E0,7.897185699E0
7.053997500E-1,-3.034040680E0,1.124611359E0,6.994953918E0,7.707109307E0
7.153367500E-1,-3.654799805E0,4.836442566E-1,6.852599945E0,7.781362309E0
7.252747500E-1,-4.125720520E0,7.110214233E-2,6.833888855E0,7.983023375E0
7.352120000E-1,-4.324806519E0,3.333567810E-1,6.612648926E0,7.908362914E0
7.451500000E-1,-4.686005402E0,8.470884705E-1,6.484665070E0,8.045314572E0
7.550870000E-1,-5.202281799E0,9.671388245E-1,6.555767212E0,8.424795378E0
7.650240000E-1,-5.665119324E0,9.156459045E-1,6.782096558E0,8.884189220E0
7.749620000E-1,-6.073619843E0,5.078938293E-1,7.078929291E0,9.341201959E0
7.848990000E-1,-6.660100250E0,1.480421448E-1,7.345225525E0,9.916208440E0
7.948360000E-1,-7.082072754E0,2.013313293E-1,7.494914246E0,1.031358465E1
8.047740000E-1,-7.230264587E0,2.912942505E-1,7.364685059E0,1.032473556E1
8.147110000E-1,-7.514972534E0,1.365161133E-1,7.148833923E0,1.037300705E1
8.246480000E-1,-7.967631226E0,-1.654060364E-1,7.319479065E0,1.082059519E1
8.345860000E-1,-8.098159790E0,-4.739144897E-1,7.775281219E0,1.123653794E1
8.445229999E-1,-8.059989166E0,-8.102650452E-1,9.761051788E0,1.268456096E1
8.544600000E-1,-9.487420807E0,-1.267115021E0,1.917033508E1,2.142705022E1
8.643979999E-1,-7.748486938E0,1.833686829E-1,1.124506577E1,1.365738547E1
8.743350000E-1,-6.917714539E0,-6.804849243E-1,1.044902115E1,1.254989550E1
8.842730000E-1,-6.903045044E0,-1.030906219E0,1.035980667E1,1.249161290E1
8.942100000E-1,-6.925648041E0,-9.527687073E-1,8.131390686E0,1.072342685E1
9.041470000E-1,-6.980284424E0,-1.259181519E0,8.063581696E0,1.073923920E1
9.140850000E-1,-7.218888245E0,-7.723937988E-1,7.438631287E0,1.039433380E1
9.240220000E-1,-7.409142609E0,-1.303788757E-1,6.912325745E0,1.013373771E1
9.339590000E-1,-6.956932983E0,8.442443848E-2,6.484365692E0,9.510680441E0
9.438970000E-1,-6.284980316E0,-2.677931213E-1,6.396797791E0,8.971717378E0
9.538340000E-1,-5.617518311E0,-7.222480774E-1,6.539002075E0,8.650820909E0
9.637720000E-1,-5.290598145E0,-1.526675262E0,7.276518402E0,9.125178691E0
9.737090000E-1,-5.889502716E0,-2.568359070E0,7.703730011E0,1.003145885E1
9.836460000E-1,-6.964866486E0,-3.430715790E0,8.192912750E0,1.128729353E1
9.935840000E-1,-8.587941284E0,-4.484225006E0,1.092263626E1,1.460017097E1
1.003521000E0,-9.907297668E0,-3.422482910E0,1.395787445E1,1.745537727E1
1.013458000E0,-8.690927124E0,-1.174607391E0,1.050036438E1,1.368099298E1
1.023396000E0,-7.311844940E0,-8.273295593E-1,6.820865936E0,1.003353192E1
1.033333000E0,-7.858358459E0,-1.888173523E0,7.052284698E0,1.072630954E1
1.043270000E0,-8.819509735E0,-2.327958984E0,8.492439880E0,1.246293224E1
1.053208000E0,-9.565258942E0,-2.069895630E0,9.072932739E0,1.334528962E1
1.063145000E0,-7.841743011E0,-1.819915466E0,9.423503723E0,1.239384719E1
1.073083000E0,-4.732408905E0,1.061293030E-1,8.952133942E0,1.012658183E1
1.083020000E0,-3.574267273E0,1.406774597E0,9.559570770E0,1.030241693E1
1.092957000E0,-3.592828674E0,-2.516267395E-1,1.053554123E1,1.113415299E1
1.102895000E0,-2.562371521E0,-2.184557190E0,9.111552429E0,9.713826517E0
1.112832000E0,-5.004093933E0,-5.166805573E0,7.305707703E0,1.025232661E1
1.122769000E0,-5.942342834E0,-4.050576782E0,5.367987213E0,8.974068049E0
1.132707000E0,-9.222322083E0,-3.745211792E0,6.469546509E0,1.187151498E1
1.142644000E0,-8.267607422E0,-4.324656830E0,7.233857117E0,1.180612883E1
1.152581000E0,-6.261778564E0,-2.453847198E0,6.134243774E0,9.102756920E0
1.162519000E0,-4.938530273E0,-1.184486847E0,5.284760284E0,7.329446201E0
1.172456000E0,-4.528832245E0,-9.705816650E-1,5.007087708E0,6.820797430E0
1.182394000E0,-4.340673523E0,-4.939727783E-1,4.126768341E0,6.009631659E0
1.192331000E0,-4.386328583E0,8.030799866E-1,3.104095001E0,5.433251483E0
1.202268000E0,-5.177732849E0,2.337988129E0,3.830384674E0,6.851784636E0
1.212206000E0,-5.335953827E0,2.326911163E0,4.155957642E0,7.152545192E0
1.222143000E0,-4.951852570E0,1.465153198E0,4.791236572E0,7.044392497E0
1.232080000E0,-4.675227814E0,7.159611511E-1,5.395829315E0,7.175327831E0
1.242018000E0,-4.705614624E0,1.079854431E0,5.978866882E0,7.684773502E0
1.251955000E0,-4.774471436E0,1.741179199E0,5.575006714E0,7.543737956E0
1.261893000E0,-4.376449127E0,2.410287781E0,4.732109528E0,6.881544502E0
1.271830000E0,-3.552861786E0,4.309388580E0,6.743626556E0,8.756149607E0
1.281767000E0,-3.038531342E0,5.179978180E0,7.083419952E0,9.286532447E0
1.291705000E0,-2.542911987E0,4.981640625E0,5.651946716E0,7.951581376E0
1.301642000E0,-2.633623352E0,5.492677917E0,4.628674622E0,7.650497462E0
1.311579000E0,-3.268153839E0,4.949008484E0,4.812941437E0,7.637926405E0
1.321517000E0,-3.475472717E0,4.355343018E0,6.586004333E0,8.626898428E0
1.331454000E0,-3.982468414E0,3.701053619E0,8.432414703E0,1.003311867E1
1.341391000E0,-4.343218231E0,3.250939636E0,9.920170898E0,1.130672118E1
1.351329000E0,-4.951553192E0,4.129013672E0,1.023975632E1,1.210038191E1
1.361266000E0,-5.469176788E0,4.624183960E0,1.040725800E1,1.263352647E1
1.371204000E0,-6.053411865E0,4.850363617E0,1.125719055E1,1.367092395E1
1.381141000E0,-6.848708038E0,4.639003143E0,1.219633759E1,1.473688578E1
1.391078000E0,-7.624694366E0,4.333039398E0,1.258882141E1,1.534241243E1
1.401016000E0,-8.275690613E0,3.940405884E0,1.290241928E1,1.582675826E1
1.410953000E0,-8.793463898E0,3.256178741E0,1.310390030E1,1.611334572E1
1.420890000E0,-9.084009705E0,2.905009003E0,1.321796310E1,1.629947417E1
1.430828000E0,-9.442364502E0,3.154390411E0,1.356000183E1,1.682207109E1
1.440765000E0,-9.990524597E0,3.394341431E0,1.334100723E1,1.700925070E1
1.450703000E0,-1.074959610E1,3.654350739E0,1.292906387E1,1.720664954E1
1.460640000E0,-1.128518234E1,3.462300110E0,1.277668076E1,1.739501175E1
1.470577000E0,-1.151121231E1,3.739373932E0,1.233330276E1,1.728008343E1
1.480515000E0,-1.122515717E1,3.487896881E0,1.207568848E1,1.685205715E1
1.490452000E0,-1.055994049E1,2.972069550E0,1.177047318E1,1.609004597E1
1.500389000E0,-9.850266266E0,2.913391571E0,1.094359268E1,1.500925770E1
1.510327000E0,-9.743238831E0,3.098855896E0,1.049108368E1,1.464911081E1
1.520264000E0,-1.002585114E1,3.398981781E0,1.038705002E1,1.483110165E1
1.530202000E0,-9.571246490E0,4.296066284E0,9.971963196E0,1.447428737E1
1.540139000E0,-9.180259552E0,4.441563721E0,9.563013611E0,1.398055375E1
1.550076000E0,-9.029822388E0,3.909719696E0,8.814869385E0,1.321081083E1
1.560014000E0,-8.871751099E0,3.539838867E0,8.112978973E0,1.253231242E1
1.569951000E0,-8.976233826E0,3.591032410E0,7.829318848E0,1.244051933E1
1.579888000E0,-9.309291229E0,4.384981384E0,7.699987793E0,1.285226739E1
1.589826000E0,-9.185947723E0,6.084098053E0,7.488327942E0,1.332189701E1
1.599763000E0,-8.907227325E0,6.871610413E0,7.125632172E0,1.331661977E1
1.609701000E0,-8.685388641E0,5.924829254E0,7.754025421E0,1.306386190E1
1.619638000E0,-8.492290192E0,5.434299316E0,7.226971436E0,1.240482639E1
1.629575000E0,-8.864715729E0,5.077740784E0,7.200925598E0,1.249879858E1
1.639513000E0,-9.085506592E0,4.756658478E0,7.559729462E0,1.274055491E1
1.649450000E0,-9.250463562E0,4.961881714E0,6.651118927E0,1.242693563E1
1.659387000E0,-9.239236908E0,5.375321960E0,6.414161682E0,1.246591573E1
1.669325000E0,-9.010662231E0,5.376220093E0,6.758894806E0,1.248112316E1
1.679262000E0,-8.631201324E0,5.289999390E0,5.711223450E0,1.162324409E1
1.689200000E0,-8.705147552E0,6.091133423E0,4.593348083E0,1.157498799E1
1.699137000E0,-9.058113556E0,7.485034790E0,4.356989594E0,1.253229928E1
1.709074000E0,-8.995393982E0,8.552465057E0,4.808450775E0,1.331100936E1
1.719012000E0,-8.471034393E0,8.851543121E0,6.029761047E0,1.365526483E1
1.728949000E0,-8.422086182E0,9.047036591E0,6.732100525E0,1.407485645E1
1.738885417E0,-8.175997925E0,8.197702789E0,7.456743622E0,1.377143052E1
1.748823417E0,-7.778574371E0,8.437504120E0,7.418572998E0,1.366502544E1
1.758760417E0,-7.911048889E0,7.793243866E0,7.552993469E0,1.343008022E1
1.768698417E0,-7.846533051E0,7.540419617E0,8.023764496E0,1.352060670E1
1.778635417E0,-7.370971985E0,7.304510193E0,8.438402252E0,1.337511606E1
1.788572417E0,-6.479126587E0,6.594087524E0,8.799152069E0,1.276268580E1
1.798510417E0,-5.864205322E0,5.950575714E0,8.632548523E0,1.201329053E1
1.808447417E0,-5.155728607E0,5.376369781E0,8.243507538E0,1.111045931E1
1.818384417E0,-5.673052826E0,5.212909698E0,9.123826904E0,1.194161519E1
1.828322417E0,-4.755161591E0,4.948559418E0,1.090931396E1,1.288848064E1
1.838259417E0,-5.334606628E0,4.365521851E0,1.118519028E1,1.313865634E1
1.848197417E0,-5.055437164E0,3.743864594E0,1.063538361E1,1.235659142E1
1.858134417E0,-3.949536896E0,2.854264526E0,1.012913635E1,1.124033233E1
1.868071417E0,-3.249293060E0,2.255809021E0,9.432035980E0,1.022789726E1
1.878009417E0,-2.553390198E0,9.840536499E-1,7.717052307E0,8.187860490E0
1.887946417E0,-2.738555145E0,6.171665955E-1,6.279890900E0,6.878779587E0
1.897883417E0,-3.363655243E0,1.420396271E0,5.722150726E0,6.787835523E0
1.907821417E0,-1.616338806E0,-1.770817566E-1,1.076710968E1,1.088919464E1
1.917758417E0,-1.448837128E0,-6.171665955E-1,8.953331451E0,9.090773768E0
1.927696417E0,-2.460882568E0,-4.836442566E-1,5.205275574E0,5.777953667E0
1.937633417E0,-2.933000793E0,-3.267704773E-1,4.270020447E0,5.190601816E0
1.947570417E0,-2.590213623E0,-3.978726196E-1,4.626728668E0,5.317342137E0
1.957508417E0,-1.945354614E0,-6.619235229E-1,4.452341309E0,4.903660924E0
1.967445417E0,-2.053579559E0,-1.322799225E0,3.683240662E0,4.419643489E0
1.977382417E0,-2.654729462E0,-1.042731628E0,2.610720978E0,3.866618909E0
1.987320417E0,-2.505938873E0,6.587800598E-1,1.802102509E0,3.156151811E0
1.997257417E0,-9.488768005E-1,3.703149261E0,1.329684906E0,4.047436668E0
2.007195417E0,8.488847351E-1,5.943989410E0,1.687740326E0,6.236993091E0
2.017132417E0,1.341061249E0,6.360722809E0,2.427651672E0,6.939072890E0
2.027069417E0,1.051263885E0,6.860234070E0,2.560575256E0,7.397601834E0
2.037007417E0,8.122109985E-1,7.681276703E0,2.219284973E0,8.036599050E0
2.046944417E0,3.408412170E-1,7.650889893E0,1.591340790E0,7.822062029E0
2.056882417E0,-1.161135406E0,6.316864014E0,9.678872681E-1,6.495214559E0
2.066819417E0,-2.331401825E0,5.636528778E0,5.117857361E-1,6.121095962E0
2.076756417E0,-2.567760315E0,6.527026978E0,1.920506287E-1,7.016577345E0
2.086694417E0,-2.433788910E0,7.415130157E0,5.679190063E-1,7.824961068E0
2.096631417E0,-2.510429535E0,8.259673920E0,1.246457977E0,8.722277638E0
2.106568417E0,-2.729573822E0,8.025111694E0,1.557062073E0,8.618435662E0
2.116506417E0,-3.172951813E0,7.155270538E0,1.670226746E0,8.003447824E0
2.126443417E0,-3.757785645E0,6.428531799E0,2.148182831E0,7.749946033E0
2.136381417E0,-4.239933014E0,5.848188629E0,3.029999084E0,7.833213686E0
2.146318417E0,-4.248914337E0,5.787265320E0,3.822002106E0,8.133474843E0
2.156255417E0,-4.267475739E0,5.824837189E0,3.889661407E0,8.201801224E0
2.166193417E0,-4.582121429E0,6.191873932E0,3.399730225E0,8.419816220E0
2.176130417E0,-5.055736542E0,6.628366241E0,3.218008118E0,8.935954748E0
2.186067417E0,-5.088368683E0,6.662944336E0,2.942880249E0,8.885204963E0
2.196005417E0,-4.667294312E0,7.456743622E0,2.695594482E0,9.200700585E0
2.205942417E0,-3.439996490E0,9.205856323E0,3.018922119E0,1.028081987E1
2.215880417E0,-3.278332672E0,1.004740631E1,2.541714478E0,1.087005755E1
